blkgrp,name
alabama.blkgrp,Alabama
alaska.blkgrp,Alaska
arizona.blkgrp,Arizona
arkansas.blkgrp,Arkansas
california.blkgrp,California
colorado.blkgrp,Colorado
connecticut.blkgrp,Connecticut
delaware.blkgrp,Delaware
florida.blkgrp,Florida
georgia.blkgrp,Georgia
hawaii.blkgrp,Hawaii
idaho.blkgrp,Idaho
illinois.blkgrp,Illinois
indiana.blkgrp,Indiana
iowa.blkgrp,Iowa
kansas.blkgrp,Kansas
kentucky.blkgrp,Kentucky
louisiana.blkgrp,Louisiana
maine.blkgrp,Maine
maryland.blkgrp,Maryland
massachusetts.blkgrp,Massachusetts
michigan.blkgrp,Michigan
minnesota.blkgrp,Minnesota
mississippi.blkgrp,Mississippi
missouri.blkgrp,Missouri
montana.blkgrp,Montana
nebraska.blkgrp,Nebraska
nevada.blkgrp,Nevada
new_hampshire.blkgrp,New Hampshire
new_jersey.blkgrp,New Jersey
new_mexico.blkgrp,New Mexico
new_york.blkgrp,New York
north_carolina.blkgrp,North Carolina
north_dakota.blkgrp,North Dakota
ohio.blkgrp,Ohio
oklahoma.blkgrp,Oklahoma
oregon.blkgrp,Oregon
pennsylvania.blkgrp,Pennsylvania
rhode_island.blkgrp,Rhode Island
south_carolina.blkgrp,South Carolina
south_dakota.blkgrp,South Dakota
tennessee.blkgrp,Tennessee
texas.blkgrp,Texas
utah.blkgrp,Utah
vermont.blkgrp,Vermont
virginia.blkgrp,Virginia
washington.blkgrp,Washington
west_virginia.blkgrp,West Virginia
wisconsin.blkgrp,Wisconsin
wyoming.blkgrp,Wyoming
