PrimaryState,SettlementCity,County1,County2,State2,County3,State3,County4,State4,County5,State5,OtherDistinction,YearFounded,ChurchDistricts,city1,city2,city3,city1Lon,city1Lat,city2Lon,city2Lat,city3Lon,city3Lat
ARKANSAS,Salem,Fulton,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,1,Salem,NA,NA,-92.19043195,35.50007885,NA,NA,NA,NA
ARKANSAS,Rector,Clay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,1,Rector,NA,NA,-90.2926008,36.2631185,NA,NA,NA,NA
COLORADO,Monte Vista,Rio Grande,Conejos,COLORADO,NA,NA,NA,NA,NA,NA,NA,2002,2,Monte Vista,NA,NA,-106.1480842,37.5791696,NA,NA,NA,NA
COLORADO,La Jara,Conejos,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,1,La Jara,NA,NA,-105.960301,37.2750084,NA,NA,NA,NA
COLORADO,Westcliffe,Custer,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1,Westcliffe,NA,NA,-105.4658353,38.1347219,NA,NA,NA,NA
COLORADO,Hillside/Cotopaxi,Custer,Fremont,COLORADO,NA,NA,NA,NA,NA,NA,NA,2011,1,Hillside,Cotopaxi,NA,-105.612778,38.265,-105.6879237,38.3707975,NA,NA
DELAWARE,Dover/Hartly,Kent,NA,NA,NA,NA,NA,NA,NA,NA,NA,1915,10,Dover,Hartly,NA,-75.5243682,39.158168,-75.7132641,39.168723,NA,NA
FLORIDA,Pinecraft,Sarasota,NA,NA,NA,NA,NA,NA,NA,NA,NA,1927,1,Pinecraft,NA,NA,-82.4912075,27.3250465,NA,NA,NA,NA
IDAHO,Salmon,Lemhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,1,Salmon,NA,NA,-113.8959008,45.1757547,NA,NA,NA,NA
ILLINOIS,Arthur/Arcola,Douglas,Moultrie,ILLINOIS,Cole,ILLINOIS,NA,NA,NA,NA,NA,1864,29,Arthur,Arcola,NA,-88.472278,39.7147552,-88.3064367,39.684755,NA,NA
ILLINOIS,Ava,Jackson,Randolph,ILLINOIS,NA,NA,NA,NA,NA,NA,NA,1991,2,Ava,NA,NA,-89.4948169,37.8883846,NA,NA,NA,NA
ILLINOIS,Colchester/Macomb,McDonough,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,2,Colchester,Macomb,NA,-90.7926324,40.4264306,-90.6717971,40.4592076,NA,NA
ILLINOIS,Pleasant Hill/Martinsburg,Pike,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,1,Pleasant Hill,Martinsburg,NA,-90.8723526,39.4433806,-90.8426298,39.5158809,NA,NA
ILLINOIS,Belle Rive/Opdyke,Jefferson,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,2,Belle Rive,Opdyke,NA,-88.740615,38.2328265,-88.790556,38.259722,NA,NA
ILLINOIS,Flat Rock,Crawford,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,1,Flat Rock,NA,NA,-87.6716922,38.901711,NA,NA,NA,NA
