BEAT,YEAR,MONTH,C_DRUGS,C_SHOTS,AGGASS,ARSON,ASSPRIS,ASSOFFC,BURGLARY,CMIS,DISCONDUCT,DRUGS,DRNKDRIV,EMBEZZLE,FAMVIOL,FORGERY,FRAUD,GAMBLING,LARCENY,LIQVIOL,MVTHEFT,MURDMANS,NEGMANSL,PUBDRUNK,RAPE,ROBBERY,RUNAWAY,SIMPASS,STOLPROP,TRESPASS,VAGRANCY,VANDAL,WEAPONS,PROSTITN,SEXOFF,VCI,P1V,P1P
11,1990,1,2,3,1,0,0,0,2,10,0,1,0,0,0,0,0,0,3,0,6,0,0,0,0,1,0,10,2,0,0,0,0,0,1,25,2,12
11,1990,2,3,1,0,0,0,0,5,8,3,0,0,0,0,0,1,0,5,0,3,0,0,0,0,1,0,4,0,0,0,0,0,0,0,19,1,14
11,1990,3,6,1,0,0,0,0,1,5,2,0,0,0,1,0,0,0,4,0,15,0,0,0,0,0,0,5,0,0,1,0,0,0,0,19,0,20
11,1990,4,2,1,1,2,0,0,5,8,2,0,0,0,0,0,1,0,5,0,7,0,0,0,0,0,0,8,1,0,0,0,0,0,1,23,1,17
11,1990,5,4,3,0,0,0,0,0,7,5,0,0,0,1,0,0,0,3,1,7,0,0,1,0,0,0,5,0,0,1,0,0,0,0,24,0,10
11,1990,6,2,8,0,0,0,0,4,13,3,1,0,0,0,0,0,0,6,0,12,0,0,2,0,0,0,8,1,0,0,0,0,0,0,34,0,22
11,1990,7,5,2,2,0,0,0,5,10,3,0,0,0,0,0,1,0,4,0,11,0,0,2,0,0,0,5,0,0,0,0,0,0,0,25,2,20
11,1990,8,2,1,2,0,0,0,4,15,2,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,3,0,2,0,0,0,0,1,23,2,15
11,1990,9,1,0,0,1,0,0,1,6,3,0,0,0,0,0,0,0,4,0,9,0,0,1,0,1,0,8,0,1,0,0,0,0,0,19,1,15
11,1990,10,0,1,2,1,0,0,4,3,2,0,0,0,0,0,1,0,6,0,3,0,0,0,0,0,0,6,0,1,0,0,0,0,0,13,2,13
11,1990,11,3,1,0,0,0,0,3,7,1,0,1,0,0,0,2,0,4,0,15,0,0,0,1,0,0,9,0,0,0,0,0,0,1,21,1,22
11,1990,12,2,1,0,0,0,0,6,3,2,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,3,0,0,1,0,0,0,0,11,0,20
11,1991,1,3,1,0,1,0,0,5,6,4,0,0,0,0,0,0,0,5,0,10,0,0,1,0,0,0,4,2,0,0,0,0,0,0,19,0,20
11,1991,2,3,0,1,1,0,0,2,6,1,0,0,0,1,0,1,0,4,0,8,0,0,2,0,0,0,5,0,0,0,0,0,0,0,16,1,14
11,1991,3,6,3,0,1,0,0,3,4,3,0,0,0,0,0,0,0,4,0,5,0,0,1,0,1,0,5,0,0,0,0,0,0,0,22,1,13
11,1991,4,3,2,0,0,0,0,3,6,2,0,0,0,1,0,0,0,0,0,5,0,0,0,0,2,0,6,0,0,0,0,0,0,0,19,2,10
11,1991,5,2,0,0,1,0,0,3,10,2,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,1,10,0,1,0,0,0,0,0,25,0,11
11,1991,6,7,0,0,0,0,0,3,3,4,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,7,0,1,0,0,0,0,0,21,0,8
11,1991,7,2,1,0,0,0,0,2,9,3,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,22,0,12
11,1991,8,5,5,0,1,0,0,3,4,3,0,0,0,1,0,1,0,2,0,6,0,0,0,0,1,0,5,0,0,0,0,0,0,0,23,1,12
11,1991,9,5,0,0,0,0,0,8,5,2,0,0,0,1,0,0,0,2,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,20,0,16
11,1991,10,3,4,0,0,0,0,6,2,1,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,10,0,0,0,0,0,0,0,20,0,19
11,1991,11,5,5,0,0,0,0,6,3,2,0,0,0,1,0,0,0,1,0,6,0,0,0,0,1,0,2,0,0,0,0,0,0,0,17,1,14
11,1991,12,5,7,0,0,0,0,7,9,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,1,0,5,0,0,0,0,0,0,0,29,1,14
11,1992,1,4,5,0,0,0,0,2,4,2,0,1,0,0,0,0,0,2,0,4,0,0,0,0,1,0,6,0,0,0,0,0,0,0,21,1,9
11,1992,2,4,2,0,0,0,0,4,6,2,0,0,0,1,0,0,0,5,0,5,0,0,0,0,0,0,3,0,0,1,0,0,0,1,17,0,14
11,1992,3,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13,0,8
11,1992,4,9,0,0,0,0,0,4,5,4,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,25,0,14
11,1992,5,1,5,1,0,0,0,4,1,3,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,10,0,0,0,0,0,0,0,20,1,13
11,1992,6,3,2,0,0,0,0,4,2,3,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,0,7,0,0,0,0,0,0,0,17,1,11
11,1992,7,1,6,1,0,0,0,3,8,2,0,0,0,0,0,0,0,7,0,3,0,0,0,1,0,0,7,0,0,0,0,0,0,1,24,2,13
11,1992,8,2,3,0,0,0,0,4,7,6,0,0,0,0,0,1,0,3,0,4,0,0,1,0,1,0,7,0,0,0,0,0,0,1,25,1,12
11,1992,9,1,2,1,0,0,0,3,5,2,0,0,0,0,0,0,0,6,0,6,0,0,0,0,2,0,11,0,0,0,0,0,0,0,21,3,17
11,1992,10,1,2,0,0,0,0,3,8,2,0,0,0,0,0,1,0,1,0,6,0,0,0,0,2,0,4,1,0,0,0,0,0,0,17,2,12
11,1992,11,0,2,0,0,0,0,6,12,3,0,0,0,0,1,0,0,7,0,11,0,0,0,0,0,0,8,3,0,0,0,0,0,0,25,0,24
11,1992,12,1,5,0,0,0,0,7,22,1,0,0,0,0,0,0,0,2,0,11,0,0,0,0,0,0,8,1,0,0,0,0,0,0,37,0,20
11,1993,1,1,5,0,0,0,0,4,10,1,0,0,0,0,0,1,0,5,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,24,0,16
11,1993,2,0,0,0,0,0,0,4,5,3,0,0,0,1,0,1,0,2,0,10,0,0,0,0,0,0,5,1,1,0,0,0,0,0,13,0,16
11,1993,3,0,5,1,0,0,0,5,12,4,0,0,0,1,0,0,0,2,0,10,0,0,0,1,2,0,7,0,1,0,0,0,0,3,28,4,19
11,1993,4,1,2,2,0,0,0,3,7,1,0,0,0,0,1,0,0,9,1,15,0,0,0,0,1,0,7,1,0,0,0,0,0,0,18,3,28
11,1993,5,0,4,0,0,0,0,5,10,4,0,0,1,0,0,0,0,7,0,5,0,0,0,0,0,0,7,0,1,0,0,0,0,0,25,0,17
11,1993,6,0,7,0,0,0,0,3,7,5,0,0,0,0,1,0,0,5,0,9,0,0,0,0,1,0,6,1,1,0,1,0,0,0,25,1,18
11,1993,7,1,3,0,0,0,0,1,5,1,1,0,0,0,0,1,0,5,0,2,0,0,0,1,0,0,6,0,1,0,0,0,0,1,16,1,8
11,1993,8,2,4,1,0,0,0,3,5,0,0,0,0,1,0,0,0,7,0,4,0,0,0,0,1,0,12,0,2,0,0,0,0,2,23,2,15
