BEATPLUS,YEAR,MONTH,C_DRUGS,C_SHOTS,AGGASS,ARSON,ASSAULT_BY_PRISONER,ASSAULT_OFFICER_NO_INJURY,BURGLARY,CMIS,DISOCNDUCT,DRUGS,DRUNKEN_DRIVING,EMBEZZLEMENT,FAMILY_VIOLENCE,FORGERY,FRAUD,GAMBLING,LARCENY,LIQUOR_LAW_VIOLATIONS,MVTHEFT,MURDER_MANSLAUGHTER,NEGLIGENT_MANSLAUGHTER,PROSTITUION,PUBLIC_DRUNKENNESS,RAPE,ROBBERY,RUNAWAY,SEXOFF,SIMPASS,STOLEN_PROPERTY,TRESPASS,VAGRANCY,VANDALISM,WEAPONS,VCI,P1P,P1V
11,1990,1,6,1,4,0,0,0,17,25,12,0,0,0,1,2,2,0,14,3,27,1,1,0,0,1,9,0,1,19,3,1,0,0,1,63,67,16
11,1990,2,1,0,2,2,0,0,9,33,11,2,0,0,1,0,0,0,28,1,25,0,0,1,0,0,2,0,0,17,1,6,0,0,0,64,64,4
11,1990,3,3,2,3,1,0,0,18,37,19,0,0,0,3,0,2,0,17,2,33,0,0,0,3,0,3,1,0,30,3,3,1,0,0,92,71,6
11,1990,4,2,0,5,1,0,0,7,16,8,0,1,0,3,0,3,0,19,1,18,0,0,0,5,0,9,0,0,32,5,1,1,0,0,59,53,14
11,1990,5,4,1,5,4,0,0,13,35,18,7,0,0,0,0,2,0,20,2,24,0,0,0,4,1,8,0,1,37,0,2,0,1,0,99,65,14
11,1990,6,2,4,2,1,0,0,16,31,11,0,0,0,1,0,4,0,20,0,35,0,0,0,7,0,4,0,4,26,0,2,0,0,0,75,75,6
11,1990,7,4,2,1,3,0,0,23,37,14,1,0,0,1,0,2,,35,0,20,0,0,0,1,0,1,0,1,38,3,2,0,0,0,98,79,2
11,1990,8,9,5,5,2,0,0,12,26,8,0,1,0,0,0,1,0,20,0,33,0,0,0,0,2,9,0,2,26,0,1,0,0,1,76,74,16
11,1990,9,5,0,6,2,0,0,5,24,7,0,0,0,1,0,0,0,16,0,32,0,0,0,0,1,5,0,1,23,0,0,0,0,0,61,58,12
11,1990,10,5,1,5,1,0,0,18,23,9,1,1,1,1,0,5,0,24,0,31,0,0,0,1,0,11,0,3,38,0,1,0,0,0,77,84,16
11,1990,11,5,5,6,1,0,0,15,24,7,2,1,0,2,0,2,0,18,2,25,0,0,0,2,1,10,0,1,33,2,0,0,0,0,75,68,17
11,1990,12,2,7,4,1,0,0,17,22,7,3,1,0,3,0,2,0,21,0,34,0,0,0,5,0,4,0,0,24,0,1,0,0,0,63,76,8
11,1991,1,1,3,4,2,0,0,7,18,11,0,0,0,1,0,3,0,17,0,17,1,0,0,5,0,8,0,0,30,0,0,0,0,0,65,49,13
11,1991,2,7,2,1,0,0,0,16,19,6,4,1,0,3,0,3,0,13,1,13,0,0,0,1,2,3,0,2,24,0,1,0,0,0,58,45,6
11,1991,3,2,1,0,4,0,0,24,17,8,0,0,0,0,0,0,0,25,0,14,0,0,0,2,1,5,0,1,28,0,0,0,0,0,60,68,6
11,1991,4,9,0,3,1,0,0,6,22,6,1,0,1,1,1,0,0,30,0,27,0,0,0,0,0,4,0,1,23,0,1,0,0,0,61,67,7
11,1991,5,6,3,2,1,0,0,12,19,10,0,0,0,4,2,3,0,17,1,17,0,0,0,0,0,2,0,1,37,0,0,0,0,0,76,48,4
11,1991,6,3,9,3,1,0,0,12,21,6,2,0,1,0,2,1,0,14,0,14,0,0,0,0,0,4,0,1,41,0,0,0,0,0,81,44,7
11,1991,7,6,2,7,2,0,0,20,22,11,2,0,0,0,1,2,0,25,0,23,0,0,0,0,1,6,0,4,49,0,1,1,0,0,92,74,14
11,1991,8,7,2,2,0,0,0,22,26,15,0,0,0,0,3,2,0,24,0,21,0,0,0,0,0,8,0,2,39,0,0,0,0,0,89,75,10
11,1991,9,10,3,4,0,0,0,15,18,5,0,0,0,1,0,1,0,31,0,17,0,0,0,0,0,10,0,1,27,0,0,0,0,0,63,73,14
