"","BEAT","YEAR","VCI","P1V","P1P","AGGASS","MURDMANS","RAPE","DRUGS","WEAPONS","BURGLARY","MVTHEFT","FAMVIOL","ROBBERY"
"1",11,1990,256,12,200,8,0,1,2,0,40,107,2,3
"2",11,1991,253,7,163,1,0,0,0,0,51,72,6,6
"3",11,1992,262,11,167,3,0,1,0,0,44,70,1,7
"4",11,1993,272,14,200,5,0,2,3,0,42,82,3,7
"5",11,1994,264,12,203,5,1,1,1,0,58,76,4,5
"6",11,1995,218,11,144,3,0,0,0,0,23,56,9,8
"7",11,1996,207,12,142,1,0,2,3,0,24,47,7,9
"8",11,1997,209,15,130,2,0,4,4,0,30,19,6,9
"9",11,1998,191,5,127,2,0,0,5,0,25,45,1,3
"10",11,1999,159,8,113,6,0,0,3,0,17,46,3,2
"11",11,2000,244,18,122,7,0,4,7,2,24,42,8,7
"12",11,2001,244,12,166,3,0,2,7,4,37,46,8,7
"13",12,1990,738,30,711,10,0,3,5,2,162,318,7,17
"14",12,1991,680,41,709,11,0,8,0,1,185,276,9,22
"15",12,1992,775,40,769,19,0,3,3,2,173,362,5,18
"16",12,1993,952,39,759,11,0,7,8,2,153,344,6,21
"17",12,1994,838,45,660,11,0,8,6,0,147,240,13,26
"18",12,1995,818,46,662,19,0,2,8,0,146,219,22,25
"19",12,1996,790,37,585,13,1,3,9,0,160,168,22,20
"20",12,1997,894,56,558,17,0,8,5,3,100,150,17,31
"21",12,1998,803,47,491,9,1,5,2,1,91,110,12,32
"22",12,1999,713,55,516,16,0,5,18,4,81,147,14,34
"23",12,2000,1029,51,507,18,0,5,45,9,85,148,22,28
"24",12,2001,1086,55,606,30,0,3,76,24,132,177,32,22
"25",13,1990,580,59,503,23,0,4,10,2,126,208,7,32
"26",13,1991,630,67,562,15,0,5,5,0,191,185,13,47
"27",13,1992,787,71,521,19,1,5,5,1,133,198,5,46
"28",13,1993,1062,100,469,37,4,4,23,5,69,195,14,55
"29",13,1994,945,73,427,26,1,6,21,4,84,163,24,40
"30",13,1995,956,76,462,28,4,5,13,4,95,154,15,39
"31",13,1996,922,68,419,24,0,9,11,0,76,147,12,35
"32",13,1997,733,55,383,14,3,9,10,3,82,89,20,29
"33",13,1998,639,46,313,17,2,4,7,2,59,114,10,23
"34",13,1999,548,59,367,22,2,5,17,1,51,143,6,30
"35",13,2000,660,55,417,23,0,5,69,8,79,135,14,27
"36",13,2001,877,58,289,31,2,2,164,28,73,80,12,23
"37",14,1990,624,113,898,24,0,5,4,2,123,350,9,84
"38",14,1991,495,100,897,16,0,8,11,0,175,293,2,76
"39",14,1992,747,84,820,17,1,2,15,0,117,284,5,64
"40",14,1993,1184,99,820,26,1,2,16,3,89,254,8,70
"41",14,1994,916,86,733,16,1,4,14,3,86,237,7,65
"42",14,1995,674,55,503,15,0,0,21,3,63,128,12,40
"43",14,1996,681,59,641,11,0,4,3,1,53,129,8,44
"44",14,1997,624,64,656,21,1,0,4,1,70,161,9,42
"45",14,1998,607,59,505,23,1,2,21,2,60,108,7,33
"46",14,1999,493,65,544,13,0,5,22,3,51,143,7,47
"47",14,2000,684,59,483,16,2,3,97,5,88,77,4,38
"48",14,2001,618,42,362,19,0,5,124,10,95,73,7,18
"49",15,1990,708,98,686,21,1,5,4,1,138,247,13,71
"50",15,1991,839,117,622,18,0,11,13,0,155,179,5,88
"51",15,1992,1119,98,631,15,0,5,22,0,149,188,8,78
"52",15,1993,1202,137,676,33,1,6,26,4,138,205,6,97
"53",15,1994,1136,107,591,25,2,7,67,2,101,170,7,73
"54",15,1995,855,81,534,16,0,5,25,3,85,100,10,60
"55",15,1996,826,64,593,21,1,3,26,3,94,123,12,39
"56",15,1997,750,78,567,12,1,8,18,0,123,93,16,57
"57",15,1998,772,71,478,24,1,10,33,5,79,91,26,36
"58",15,1999,706,89,579,29,0,11,47,4,75,141,7,49
"59",15,2000,970,92,429,34,0,7,140,13,77,112,16,51
"60",15,2001,816,48,283,21,1,2,154,11,88,82,13,24
"61",16,1990,520,76,335,33,0,3,12,2,69,123,10,40
"62",16,1991,466,65,296,21,0,2,9,0,75,70,11,42
"63",16,1992,545,72,292,27,0,3,7,1,72,88,17,42
"64",16,1993,914,70,367,31,2,3,4,4,70,128,17,34
"65",16,1994,738,63,350,30,2,2,7,3,85,116,16,29
"66",16,1995,553,50,254,19,1,1,5,2,79,56,14,29
"67",16,1996,461,36,218,14,1,2,3,2,58,49,14,19
"68",16,1997,369,19,240,7,0,7,4,0,69,50,17,5
"69",16,1998,413,30,235,12,0,2,1,0,56,55,11,16
"70",16,1999,408,24,215,13,0,1,12,1,45,79,20,10
"71",16,2000,616,54,255,30,0,7,63,7,48,72,20,17
"72",16,2001,698,48,221,35,0,6,90,12,69,55,20,7
"73",17,1990,382,54,499,15,1,3,4,0,101,214,7,35
"74",17,1991,379,41,411,9,1,3,0,0,91,147,4,28
"75",17,1992,513,58,538,4,0,3,2,0,98,231,6,51
"76",17,1993,669,60,606,12,0,3,2,2,104,232,4,45
"77",17,1994,650,53,517,10,0,6,4,2,80,159,5,37
"78",17,1995,506,48,454,9,0,1,5,1,71,110,7,38
"79",17,1996,492,47,447,9,0,3,10,1,88,72,11,35
"80",17,1997,679,40,550,8,0,4,6,0,91,115,11,28
"81",17,1998,561,60,517,16,0,3,6,1,100,105,13,41
"82",17,1999,461,52,497,14,0,2,17,0,82,119,13,36
"83",17,2000,677,49,422,20,2,3,73,3,66,80,18,24
"84",17,2001,654,52,423,23,0,2,102,10,89,84,10,27
"85",21,1990,207,27,547,5,0,0,1,0,72,154,0,22
"86",21,1991,155,54,457,6,0,7,0,0,40,93,0,41
"87",21,1992,192,32,391,4,0,1,1,1,29,71,1,27
"88",21,1993,239,39,313,5,0,1,4,0,36,52,3,33
"89",21,1994,231,34,313,4,0,4,9,1,25,51,2,26
"90",21,1995,205,24,332,0,0,3,0,0,28,34,4,21
"91",21,1996,208,27,288,5,0,3,3,0,33,33,1,19
"92",21,1997,229,18,362,1,0,1,0,1,68,30,5,16
"93",21,1998,217,36,294,10,0,2,0,0,28,17,3,24
"94",21,1999,181,33,298,8,0,4,7,1,20,45,5,21
"95",21,2000,263,30,249,9,0,4,19,9,25,17,3,17
"96",21,2001,169,19,170,5,0,1,24,9,14,27,2,13
"97",22,1990,478,158,1138,20,1,8,10,0,106,171,3,129
"98",22,1991,365,188,1195,13,0,9,9,0,84,179,4,166
"99",22,1992,494,177,1147,12,0,3,17,0,93,134,4,162
"100",22,1993,717,180,978,18,3,5,10,0,72,114,3,154
"101",22,1994,657,122,844,8,0,3,14,0,77,90,5,111
"102",22,1995,585,93,801,8,0,4,9,2,68,55,7,81
"103",22,1996,487,84,752,10,0,3,16,2,61,60,8,71
"104",22,1997,507,74,776,10,0,2,5,3,79,70,4,62
"105",22,1998,523,93,831,4,0,3,6,2,77,60,6,86
"106",22,1999,443,84,882,15,0,1,40,1,51,75,7,68
"107",22,2000,552,95,892,17,0,5,72,11,46,47,6,73
"108",22,2001,490,69,717,11,0,3,79,21,66,36,8,55
"109",23,1990,457,51,850,15,1,3,7,1,197,349,8,32
"110",23,1991,465,51,706,10,0,3,14,0,109,305,4,38
"111",23,1992,615,68,1066,13,0,3,3,0,113,419,1,52
"112",23,1993,848,68,922,17,0,0,2,1,104,333,7,51
"113",23,1994,839,57,825,10,0,2,3,3,125,260,8,45
