PRECINCT,YEAR,MONTH,C_DRUGS,C_SHOTS,AGGASS,ARSON,ASSAULT_BY_PRISONER,ASSAULT_OFFICER_NO_INJURY,BURGLARY,CMIS,DISCONDUCT,DRUGS,DRUNKEN_DRIVING,EMBEZZLEMENT,FAMILY_VIOLENCE,FORGERY,FRAUD,GAMBLING,LARCENY,LIQUOR_LAW_VIOLATIONS,MVTHEFT,MURDER_MANSLAUGHTER,NEGLIGENT_MANSLAUGHTER,PROSTITUION,PROSTITUTION,PUBLIC_DRUNKENNESS,RAPE,ROBBERY,RUNAWAY,SEX_OFFENSE,SEXOFF,SIMPASS,STOLEN_PROPERTY,TRESPASS,VAGRANCY,VANDALISM,WEAPONS,VCI,P1P,P1V
1,1990,1,30,7,13,3,0,0,77,94,41,6,0,0,7,2,5,0,95,7,99,1,1,0,0,4,2,29,0,12,0,89,18,6,1,0,1,264,300,45
1,1990,2,31,8,9,9,1,0,62,125,49,3,0,2,5,0,6,0,121,3,106,0,0,1,0,6,0,16,0,0,0,90,6,9,2,0,1,312,305,25
1,1990,3,22,10,7,10,0,0,56,129,53,0,0,0,8,1,4,0,103,6,138,0,0,0,0,9,5,20,1,7,0,107,5,14,2,0,0,331,317,32
1,1990,4,39,9,13,5,0,0,56,94,40,3,2,0,6,0,4,0,102,12,98,0,0,0,0,21,1,30,0,7,0,123,12,3,2,0,1,310,286,44
1,1990,5,37,11,11,6,0,0,48,130,65,11,0,0,2,0,2,0,95,14,122,0,0,0,0,10,1,20,0,2,0,117,2,6,1,1,3,366,285,32
1,1990,6,28,31,7,2,0,0,52,132,62,2,0,0,1,0,5,0,103,7,120,0,0,0,0,35,0,14,0,6,0,136,2,5,0,0,0,391,289,21
1,1990,7,36,19,6,5,0,0,71,121,54,1,0,0,4,1,7,1,110,2,134,0,0,0,0,38,1,17,0,1,1,122,6,3,0,0,0,357,332,24
1,1990,8,44,19,13,5,0,0,59,133,41,4,1,0,1,0,4,0,108,0,125,0,0,0,0,3,3,25,0,7,0,101,5,6,0,0,2,343,317,41
1,1990,9,30,16,14,9,0,0,57,106,30,1,1,0,8,2,3,0,88,0,159,0,0,0,0,4,2,25,1,7,0,110,2,1,1,1,0,301,329,41
1,1990,10,45,21,21,4,0,0,84,131,32,2,3,2,3,1,11,0,128,5,167,0,0,0,0,8,2,32,0,7,0,106,1,6,2,0,0,339,411,55
1,1990,11,27,22,9,5,0,0,66,83,28,2,2,2,5,0,9,0,86,3,152,1,0,0,0,7,5,26,0,6,0,113,2,0,0,0,0,278,330,41
1,1990,12,25,13,11,2,0,0,71,71,25,6,2,2,5,1,7,0,85,0,147,0,0,0,0,14,2,28,1,3,0,80,4,3,1,0,1,216,331,41
1,1991,1,49,12,7,9,0,0,85,73,34,1,1,1,7,0,8,0,69,1,75,1,0,0,0,26,2,26,0,2,0,93,2,3,0,0,1,270,255,36
1,1991,2,34,12,4,2,0,0,57,63,30,14,2,0,6,0,8,0,73,4,74,0,0,0,0,22,2,23,0,3,0,70,0,1,1,0,0,211,227,29
1,1991,3,53,7,2,7,0,0,78,65,33,1,2,0,8,0,5,0,80,2,84,0,0,0,0,17,3,17,0,7,0,84,0,2,1,0,0,249,259,22
1,1991,4,55,9,7,7,0,0,50,87,23,1,1,1,7,4,5,0,104,0,98,0,0,0,0,0,3,24,0,3,0,113,0,2,1,1,0,294,276,34
1,1991,5,64,17,13,4,0,0,75,64,24,0,0,0,5,2,3,0,118,1,105,0,0,0,0,0,6,12,1,3,0,121,0,4,0,0,0,294,310,31
1,1991,6,71,19,6,4,0,0,68,82,24,5,0,1,3,2,6,0,109,0,122,0,0,0,0,0,4,21,1,5,0,110,0,6,0,0,0,310,320,31
1,1991,7,106,14,15,8,0,0,125,95,46,4,0,0,1,3,10,0,119,0,129,0,0,0,0,0,7,28,0,5,0,132,1,3,2,0,0,401,401,50
1,1991,8,83,20,6,10,0,0,101,101,43,1,0,1,3,4,8,0,121,0,121,0,0,0,0,1,2,27,0,7,0,141,1,4,0,0,0,398,370,35
1,1991,9,93,24,8,6,0,1,101,89,28,0,1,1,3,1,3,0,126,0,95,0,0,0,0,0,1,30,0,3,0,116,0,6,0,0,0,356,352,39
1,1991,10,74,18,7,10,0,0,72,105,38,0,0,4,3,2,9,0,101,0,137,0,0,0,0,0,3,39,1,2,0,147,1,6,1,0,0,392,349,49
1,1991,11,56,19,9,9,0,0,46,84,22,4,1,1,3,0,6,0,78,0,97,0,0,0,0,0,2,35,0,6,0,86,1,5,0,0,0,276,256,46
