TRACT,YEAR,MONTH,C_DRUGS,C_SHOTS,AGGASS,ARSON,ASSAULT_BY_PRISONER,ASSAULT_OFFICER_NO_INJURY,BURGLARY,CMIS,DISCONDUCT,DRUGS,DRUNKEN_DRIVING,EMBEZZLEMENT,FAMILY_VIOLENCE,FORGERY,FRAUD,GAMBLING,LARCENY,LIQUOR_LAW_VIOLATIONS,MVTHEFT,MURDER_MANSLAUGHTER,NEGLIGENT_MANSLAUGHTER,PROSTITUTION,PUBLIC_DRUNKENNESS,RAPE,ROBBERY,RUNAWAY,SEXOFF,SIMPASS,STOLEN_PROPERTY,TRESPASS,VAGRANCY,VANDALISM,WEAPONS,VCI,P1P,P1V
101,1990,1,2,0,0,0,0,1,2,1,6,1,2,0,0,2,3,0,29,0,11,0,0,0,0,0,2,0,0,5,2,1,0,0,0,14,44,2
101,1990,2,6,0,0,0,0,0,1,9,1,0,1,0,0,0,2,0,15,1,4,0,0,0,0,0,1,0,0,3,0,0,0,0,0,19,21,1
101,1990,3,1,0,0,0,0,0,4,4,2,0,0,0,0,0,3,0,18,0,6,0,0,0,0,0,0,0,1,5,0,0,0,0,0,12,28,0
101,1990,4,1,0,0,1,0,0,9,4,7,0,0,0,0,1,1,0,24,0,17,0,0,0,5,0,4,0,0,4,3,0,0,0,0,17,54,4
101,1990,5,0,0,1,1,0,0,9,13,2,0,0,0,0,0,3,0,14,1,13,0,0,0,2,0,3,0,0,8,3,1,0,0,0,24,39,4
101,1990,6,0,0,0,0,0,0,7,16,5,0,0,0,0,0,0,0,28,0,13,0,0,0,6,0,1,0,0,3,0,1,0,0,0,24,49,1
101,1990,7,2,0,0,0,0,0,12,12,1,0,0,0,0,1,0,0,30,0,16,0,0,0,1,0,1,0,1,3,2,0,0,0,0,18,59,1
101,1990,8,2,0,1,0,0,0,1,11,1,0,0,0,0,0,1,0,34,0,17,0,0,0,5,0,2,0,0,6,0,0,0,0,0,20,54,3
101,1990,9,2,0,0,1,0,0,9,13,0,0,0,0,0,0,0,0,29,0,13,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,52,1
101,1990,10,4,0,1,0,0,0,0,4,0,0,0,0,0,0,3,0,25,0,16,0,0,0,2,0,2,0,0,6,0,0,0,0,0,14,43,3
101,1990,11,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,0,25,0,11,0,0,0,1,0,2,0,1,8,0,0,0,0,0,11,42,2
101,1990,12,0,0,2,0,0,0,14,10,1,0,0,0,0,0,1,0,28,0,17,0,0,0,3,0,3,0,0,6,0,0,0,0,0,17,62,5
101,1991,1,0,0,1,1,0,0,5,6,0,0,0,0,0,0,3,0,20,0,8,0,0,0,2,2,0,0,0,6,0,0,0,0,0,13,33,3
101,1991,2,1,0,0,0,0,0,4,3,3,0,0,0,0,0,2,0,24,0,5,0,0,0,2,0,1,0,0,7,0,0,0,0,0,14,34,1
101,1991,3,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,19,0,4,0,0,0,4,1,5,0,0,4,0,1,0,0,0,7,31,6
101,1991,4,1,0,0,1,0,0,1,1,0,0,0,0,0,0,3,0,34,0,6,0,0,0,0,1,1,0,0,7,0,0,0,0,0,10,42,2
101,1991,5,1,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,31,0,7,0,0,0,0,0,5,0,0,8,0,0,0,0,0,10,43,7
101,1991,6,0,0,0,0,0,0,2,5,3,0,1,0,0,0,1,0,20,0,7,0,0,0,0,1,5,0,1,10,0,0,0,0,0,18,34,6
101,1991,7,2,0,0,0,0,0,2,3,0,0,0,0,0,1,2,0,18,0,8,0,0,0,0,0,6,0,1,7,0,0,0,0,0,12,34,6
101,1991,8,4,0,1,0,0,0,3,6,1,0,0,0,0,0,1,0,26,0,13,0,0,0,0,1,4,0,0,5,0,0,0,0,0,16,46,6
101,1991,9,3,0,0,0,0,0,8,4,0,0,0,0,0,0,2,0,24,0,5,0,0,0,0,1,1,0,0,5,0,1,0,0,0,12,38,2
101,1991,10,0,2,2,0,0,0,3,9,1,0,0,0,0,0,2,0,18,0,8,0,0,0,0,0,4,0,0,7,0,0,0,0,0,19,33,6
101,1991,11,2,0,0,0,0,0,3,3,1,0,0,1,0,0,1,0,30,0,11,0,0,0,0,0,1,0,1,4,0,0,0,0,0,10,45,1
101,1991,12,1,0,0,0,0,0,6,3,1,0,0,2,0,0,4,0,19,0,11,0,0,0,0,0,8,0,0,9,0,0,0,0,0,14,44,8
101,1992,1,1,2,1,0,0,0,4,7,9,0,0,0,0,0,0,0,23,0,11,0,0,0,0,0,2,0,0,11,0,0,0,0,0,30,40,3
101,1992,2,0,0,0,0,0,0,1,1,5,0,0,0,1,0,0,0,21,0,10,0,0,0,0,0,4,0,0,9,0,0,0,0,0,15,36,4
101,1992,3,1,0,0,0,0,0,2,8,1,0,0,1,0,0,1,0,20,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,27,0
