BEAT,YEAR,MONTH,AGGASS,ARSON,BURGLARY,CMIS,DRUGS,GAMBLING,LARCENY,MVTHEFT,MURDMANS,DISCONDUCT,PROST,RAPE,ROBBERY,SIMPASS,TRESPASS,WEAPONS,VCI,P1V,P1P
224,1991,1,1,0,12,22,2,0,21,6,0,21,1,0,4,12,1,2,59,5,43
224,1991,2,3,0,6,18,1,0,24,3,0,22,0,0,2,14,1,1,56,5,35
224,1991,3,0,0,8,23,1,0,25,2,0,16,0,0,7,9,1,0,49,7,42
224,1991,4,1,0,6,18,2,0,27,4,0,19,2,0,9,5,0,1,45,10,46
224,1991,5,2,1,17,22,2,0,24,5,0,23,0,1,3,7,3,0,55,6,49
224,1991,6,1,0,16,21,0,0,34,7,0,27,1,0,2,12,2,0,60,3,59
224,1991,7,3,0,21,24,0,0,43,11,0,29,0,0,5,7,3,0,60,8,80
224,1991,8,3,0,19,23,4,0,51,6,0,26,1,0,8,17,7,1,71,11,84
224,1991,9,0,1,13,13,9,0,36,3,0,24,1,1,8,4,4,0,51,9,60
224,1991,10,2,0,15,13,0,0,38,9,0,17,0,0,5,14,4,2,46,7,67
224,1991,11,0,2,7,19,4,0,36,9,0,19,0,1,3,5,3,0,49,4,55
224,1991,12,2,0,17,19,2,0,30,3,0,6,0,0,5,11,4,0,38,7,55
224,1992,1,0,1,12,17,10,0,41,6,0,20,1,0,7,11,1,2,61,7,66
224,1992,2,1,1,7,20,1,0,22,4,0,20,0,1,5,9,3,2,53,7,38
224,1992,3,2,1,6,15,7,0,30,7,1,20,0,1,2,10,4,0,53,6,45
224,1992,4,1,1,5,27,1,0,34,5,1,28,0,0,7,9,2,1,67,9,51
224,1992,5,0,0,8,22,5,0,34,2,0,13,0,0,3,10,7,0,50,3,47
224,1992,6,2,0,5,16,3,0,32,5,0,26,1,1,0,5,7,0,50,3,42
224,1992,7,2,0,10,19,5,0,40,1,0,21,0,0,1,6,3,3,54,3,52
224,1992,8,1,1,11,20,2,0,33,7,0,18,0,1,3,12,2,2,55,5,54
224,1992,9,4,0,5,21,2,0,39,7,0,15,0,0,2,6,1,1,45,6,53
224,1992,10,0,1,7,20,1,0,36,4,0,23,0,0,7,7,2,1,53,7,54
224,1992,11,0,0,12,22,1,0,45,7,0,11,0,0,1,11,3,2,47,1,65
224,1992,12,4,0,19,17,0,0,46,4,0,18,0,0,4,10,1,2,47,8,73
224,1993,1,0,1,13,25,3,0,30,3,0,15,0,0,0,9,0,0,53,0,46
224,1993,2,2,0,9,11,0,0,17,8,1,13,0,1,3,6,3,2,32,7,37
224,1993,3,0,0,6,6,0,0,23,7,0,31,0,0,3,4,2,1,42,3,39
224,1993,4,4,0,10,20,1,0,31,5,0,21,1,1,2,6,1,3,51,7,48
