 BEATPLUS,YEAR,MONTH,AGGASS,ARSON,BURGLARY,CMIS,DRUGS,GAMBLING,LARCENY,MENACING,MVTHEFT,MURDER_MANSLAUGHTER,DISCONDUCT,PROSTITUTION,RAPE,ROBBERY,SIMPASS,TRESPASS,WEAPONS,VCI,P1P,P1V
11,1991,1,2,0,16,53,7,0,51,8,18,0,64,14,1,5,21,2,5,150,90,8
11,1991,2,0,1,22,53,8,0,61,2,16,0,77,18,3,8,25,2,0,164,107,11
11,1991,3,2,0,49,63,13,0,82,6,19,0,51,9,0,8,34,6,3,164,158,10
11,1991,4,5,3,24,51,6,0,77,2,9,0,76,29,0,7,37,7,2,175,117,12
11,1991,5,4,0,41,62,11,0,110,8,16,0,85,21,2,6,32,6,2,192,173,12
11,1991,6,7,4,39,51,12,0,106,9,16,0,78,37,1,7,35,6,5,185,168,15
11,1991,7,4,2,44,69,19,0,115,13,16,1,65,235,3,7,34,9,2,191,182,15
11,1991,8,5,0,37,51,5,0,96,6,17,0,80,78,1,11,53,1,4,193,161,17
11,1991,9,4,0,32,71,15,0,84,12,28,0,71,61,2,11,33,6,3,193,155,17
11,1991,10,7,3,30,85,10,0,104,7,28,0,72,36,0,10,50,10,1,221,172,17
11,1991,11,1,2,42,46,9,0,72,5,19,1,70,28,2,3,21,4,0,148,136,7
11,1991,12,3,1,47,69,4,0,99,2,23,0,50,19,2,9,38,3,2,164,178,14
11,1992,1,3,2,32,60,7,0,78,2,31,0,60,14,2,14,29,4,3,161,155,19
11,1992,2,4,2,40,54,6,0,89,1,30,0,52,10,2,12,23,5,1,138,171,18
11,1992,3,2,6,33,52,8,0,76,4,17,2,44,24,1,9,38,4,7,155,135,14
11,1992,4,4,0,41,53,15,0,78,2,22,2,60,13,5,5,28,5,0,156,146,16
11,1992,5,8,0,46,65,10,0,113,7,14,0,57,27,1,13,32,4,4,168,186,22
11,1992,6,5,0,42,59,3,0,83,5,27,0,54,12,1,9,24,6,0,140,161,15
11,1992,7,5,1,55,59,11,0,77,4,27,0,58,12,2,13,25,4,2,156,172,20
11,1992,8,5,2,50,41,8,0,88,10,21,1,62,2,2,12,36,9,3,152,171,20
11,1992,9,7,0,41,41,9,0,65,3,12,1,68,11,2,13,33,5,4,155,131,23
11,1992,10,3,0,59,54,4,0,83,3,25,0,52,12,3,13,29,3,2,141,180,19
11,1992,11,6,0,44,56,5,0,79,2,14,0,46,13,2,15,30,7,8,145,152,23
11,1992,12,1,0,31,35,2,0,90,0,16,0,53,10,2,5,23,2,5,118,142,8
11,1993,1,6,0,21,48,2,0,92,3,11,0,55,1,2,11,23,5,5,133,135,19
11,1993,2,1,1,24,48,7,0,78,0,21,1,34,14,3,3,32,6,7,129,126,8
11,1993,3,3,1,23,45,3,0,87,0,14,0,45,2,1,3,23,4,6,123,127,7
11,1993,4,6,3,25,45,6,0,72,1,13,1,67,13,1,4,33,3,4,158,114,12
11,1993,5,2,5,31,35,3,0,80,0,14,0,63,8,2,2,24,6,8,138,127,6
11,1993,6,4,3,31,34,5,0,85,2,28,0,66,23,1,12,32,3,13,153,156,17
11,1993,7,4,3,32,58,15,0,97,1,18,0,58,26,1,11,35,3,8,177,158,16
11,1993,8,12,4,50,50,17,0,100,0,28,0,60,11,0,14,35,3,6,172,192,26
11,1993,9,5,1,31,32,18,0,84,1,14,0,54,2,0,9,28,9,8,141,138,14
11,1993,10,4,2,28,37,13,0,88,1,17,0,63,30,3,10,24,6,4,143,143,17
11,1993,11,2,0,53,38,10,0,79,1,11,0,43,21,2,8,21,5,10,122,151,12
11,1993,12,1,4,32,56,7,0,72,2,22,3,53,5,2,9,26,2,3,149,135,15
11,1994,1,2,0,15,41,6,0,60,0,16,1,31,19,1,7,22,6,5,105,98,11
11,1994,2,2,0,21,18,17,0,53,0,11,0,50,28,0,4,17,2,5,107,89,6
11,1994,3,1,0,29,28,13,0,80,3,18,0,48,10,3,8,18,4,2,109,135,12
11,1994,4,2,2,29,39,11,0,74,1,7,0,48,25,1,3,33,5,2,135,113,6
11,1994,5,0,1,35,54,10,0,92,0,13,0,55,23,0,7,27,5,4,151,147,7
11,1994,6,6,3,45,46,5,0,60,0,17,1,61,8,1,10,33,2,7,155,132,18
11,1994,7,7,2,42,45,14,0,74,4,18,1,75,21,0,13,32,5,3,171,147,21
11,1994,8,12,1,29,61,19,0,61,0,27,0,61,38,2,14,40,8,11,193,131,28
