PRECINCT,NAME,YEAR,MONTH,AGGASS,ARSON,BURGLARY,CMIS,DRUGS,GAMBLING,LARCENY,MENACING,MVTHEFT,MURDER_MANSLAUGHTER,DISCONDUCT,PROSTITUTION,RAPE,ROBBERY,SIMPASS,TRESPASS,WEAPONS,VCI,P1P,P1V
1,CLINTON,1991,1,14,4,88,115,34,0,144,11,47,3,116,2,4,19,59,7,7,335,298,40
1,CLINTON,1991,2,14,6,75,125,63,0,159,12,38,3,102,1,2,21,45,5,8,349,293,40
1,CLINTON,1991,3,19,8,84,129,33,0,146,14,71,1,140,2,7,35,81,7,10,401,336,62
1,CLINTON,1991,4,15,5,68,123,52,0,136,16,29,0,119,1,1,27,79,14,7,385,260,43
1,CLINTON,1991,5,23,13,66,150,43,0,181,20,53,0,168,5,5,26,102,13,7,483,326,54
1,CLINTON,1991,6,32,7,85,136,43,0,165,21,39,5,152,8,6,26,106,11,5,449,315,69
1,CLINTON,1991,7,18,4,83,169,36,0,204,29,50,0,151,14,4,20,119,8,1,480,357,42
1,CLINTON,1991,8,32,8,85,145,28,0,201,23,38,0,146,1,6,19,95,13,8,430,343,57
1,CLINTON,1991,9,8,5,83,157,23,0,187,10,47,1,134,2,2,24,71,6,5,395,341,35
1,CLINTON,1991,10,25,14,104,196,22,0,178,7,61,1,155,0,7,36,71,13,4,462,379,69
1,CLINTON,1991,11,12,8,102,140,21,0,185,14,47,1,78,1,3,26,58,9,7,312,360,42
1,CLINTON,1991,12,18,4,89,136,23,0,194,7,51,3,94,4,4,24,40,6,7,304,358,49
1,CLINTON,1992,1,22,4,113,145,29,0,192,13,58,0,83,4,3,25,72,6,9,342,388,50
1,CLINTON,1992,2,16,8,85,127,31,0,184,7,73,2,106,9,4,22,60,10,6,338,364,44
1,CLINTON,1992,3,12,9,125,137,41,0,147,12,49,4,117,6,1,28,71,7,6,381,349,45
1,CLINTON,1992,4,8,14,89,163,48,0,145,14,55,2,119,2,6,25,64,8,7,415,314,41
1,CLINTON,1992,5,8,6,104,159,34,0,163,14,54,2,138,9,3,22,99,11,7,443,343,35
1,CLINTON,1992,6,16,11,111,136,26,0,203,8,64,2,132,7,8,21,98,7,7,410,399,47
1,CLINTON,1992,7,18,35,128,161,42,0,185,13,38,1,134,9,5,24,77,11,3,452,375,48
