TRACT,YEAR,MONTH,AGGASS,ARSON,BURGLARY,CMIS,DRUGS,GAMBLING,LARCENY,MENACING,MVTHEFT,MURDER_MANSLAUGHTER,DISCONDUCT,PROSTITUTION,RAPE,ROBBERY,SIMPASS,TRESPASS,WEAPONS,VCI,P1P,P1V
36055000200,1991,1,0,0,1,0,0,0,4,0,0,0,3,1,0,0,0,0,0,3,5,0
36055000200,1991,2,0,0,2,2,0,0,4,0,2,0,1,1,0,0,0,1,0,3,8,0
36055000200,1991,3,0,0,2,3,0,0,3,0,3,0,0,0,1,0,1,0,0,4,8,1
36055000200,1991,4,0,0,1,4,0,0,4,3,2,0,3,1,0,1,1,0,0,8,8,1
36055000200,1991,5,0,0,1,4,1,0,7,0,0,0,1,1,0,2,0,0,0,6,10,2
36055000200,1991,6,0,0,1,5,1,0,5,0,0,0,1,0,0,1,2,1,0,9,7,1
36055000200,1991,7,0,0,2,1,0,0,7,0,1,0,0,1,0,0,1,0,0,2,10,0
36055000200,1991,8,0,1,1,3,0,0,11,0,1,0,1,2,1,0,2,0,0,7,13,1
36055000200,1991,9,0,0,1,5,0,0,6,0,1,0,2,1,0,1,1,1,0,8,9,1
36055000200,1991,10,0,0,4,4,0,0,8,2,0,0,2,0,0,3,0,1,0,6,15,3
36055000200,1991,11,0,0,0,6,0,0,7,0,1,0,1,0,0,1,0,0,0,7,9,1
36055000200,1991,12,0,0,6,2,1,0,4,1,2,0,0,0,0,0,0,0,0,3,12,0
36055000200,1992,1,0,0,0,4,0,0,6,0,3,0,0,1,1,0,0,0,0,4,9,1
36055000200,1992,2,0,0,2,4,0,0,7,0,0,0,0,0,0,0,0,0,0,4,9,0
36055000200,1992,3,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,1,0,3,3,0
36055000200,1992,4,0,0,2,9,0,0,5,0,1,0,1,0,0,0,0,1,0,10,8,0
36055000200,1992,5,0,0,7,9,1,0,6,0,3,0,0,0,1,2,1,0,0,11,18,3
36055000200,1992,6,0,0,1,4,0,0,5,0,1,0,1,0,0,0,1,0,0,6,7,0
36055000200,1992,7,1,0,0,6,0,0,6,0,1,0,2,1,0,2,1,0,0,9,9,3
36055000200,1992,8,0,0,0,8,0,0,12,0,0,0,2,0,1,0,0,0,0,10,12,1
36055000200,1992,9,0,0,2,5,1,0,13,1,0,0,0,0,0,1,1,0,0,7,16,1
36055000200,1992,10,1,0,0,3,0,0,11,1,2,0,0,0,0,0,0,0,1,4,13,1
36055000200,1992,11,0,0,1,1,0,0,6,0,0,0,0,1,0,0,0,0,0,1,7,0
36055000200,1992,12,0,0,4,2,0,0,3,0,2,0,2,0,0,0,0,0,0,4,9,0
36055000200,1993,1,0,1,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,3,4,0
36055000200,1993,2,0,0,1,2,0,0,4,0,0,0,1,0,0,1,1,0,0,4,6,1
36055000200,1993,3,0,0,2,2,1,0,5,0,1,0,0,0,0,1,0,1,1,4,9,1
36055000200,1993,4,0,0,0,1,0,0,8,0,0,0,0,1,0,1,0,0,0,1,9,1
36055000200,1993,5,0,1,1,1,1,0,9,0,2,0,0,1,0,0,1,1,0,4,12,0
36055000200,1993,6,0,0,1,1,0,0,6,0,1,0,2,0,0,0,0,0,0,3,8,0
36055000200,1993,7,0,0,5,3,2,0,8,0,1,0,0,0,0,0,2,0,0,7,14,0
36055000200,1993,8,0,0,1,3,1,0,8,0,4,0,0,0,0,0,1,0,0,5,13,0
36055000200,1993,9,1,0,6,5,1,0,11,0,1,0,0,0,0,1,0,0,0,6,19,2
36055000200,1993,10,0,1,5,3,0,0,13,0,2,0,2,0,0,0,2,0,0,8,20,0
36055000200,1993,11,0,2,5,3,1,0,17,0,0,0,0,0,0,1,2,0,0,8,23,1
36055000200,1993,12,0,0,3,0,0,0,14,0,1,0,2,0,0,0,0,0,1,3,18,0
36055000200,1994,1,0,0,0,1,0,0,13,0,1,0,3,0,0,0,0,0,0,4,14,0
36055000200,1994,2,0,0,0,1,0,0,7,0,1,0,0,0,0,0,1,0,0,2,8,0
36055000200,1994,3,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0
36055000200,1994,4,0,0,4,4,0,0,1,0,2,0,0,0,0,1,1,0,2,7,8,1
36055000200,1994,5,0,0,1,0,0,0,9,0,1,0,1,0,0,0,2,0,0,3,11,0
36055000200,1994,6,0,0,4,3,1,0,14,0,0,0,0,0,0,0,0,0,0,4,18,0
36055000200,1994,7,1,0,0,3,1,0,14,0,1,0,5,1,0,2,1,1,1,11,17,3
36055000200,1994,8,0,1,1,1,0,0,10,0,2,0,1,0,0,1,0,0,1,4,14,1
36055000200,1994,9,0,0,1,3,1,0,2,0,1,0,1,3,0,1,0,0,0,5,5,1
36055000200,1994,10,0,0,3,7,1,0,8,0,0,0,3,0,1,1,0,0,0,11,12,2
36055000200,1994,11,0,0,6,3,0,0,12,0,1,1,1,1,0,0,0,0,0,4,19,1
36055000200,1994,12,1,0,1,3,0,0,5,0,1,0,1,0,0,0,0,0,0,4,7,1
36055000200,1995,1,0,0,2,2,0,0,4,0,0,0,2,0,0,0,1,0,0,5,6,0
36055000200,1995,2,0,0,1,6,0,0,4,0,2,0,0,1,0,0,0,0,0,6,7,0
36055000200,1995,3,0,0,2,4,0,0,11,0,1,0,2,0,0,0,0,0,0,6,14,0
36055000200,1995,4,0,1,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,4,1,0
36055000200,1995,5,0,0,1,1,0,0,8,0,0,0,2,0,0,0,2,1,0,5,9,0
36055000200,1995,6,0,2,1,2,0,0,5,0,0,0,0,0,0,1,0,0,0,4,7,1
